,ID,Link,Title,Location,Excerpt,Address,Size (Meters Squared),Price (ZAR),Bedrooms,Bathrooms,Parking Spaces,Estate Agency,Price per Size (ZAR/Meter Squared)
7556,110565686,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110565686,Apartment,Green Point,"Superbly renovated light and bright one bedroom, one bathroom apartment in Green Point.Studio that has been renovated into a one ...",,44.0,1475000,1.0,1.0,,Stonehurst Properties,33522.72727272727
7562,109862529,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109862529,Apartment,Green Point,"**Sole Mandate**Investment - Selling with a great tenant. Option to buy fully furnished. Modern, safe and centrally located ...",,48.0,2250000,1.0,1.0,1.0,,46875.0
7568,110484460,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110484460,Apartment,Green Point,DG ExclusiveThis one-bedroom apartment en-suite is situated high up on the 7th floor with lovely views of the mountains & stadium ...,,61.0,2750000,1.0,1.0,1.0,Dogon Group Sea Point - Head Office,45081.96721311475
7574,109433226,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109433226,Apartment,Green Point,This lovely STUDIO unit is in a small unique building in Green Point.Top floor unit with a large balcony with views is very well ...,,48.0,1670000,1.0,1.0,,Sandak Lewin Trust,34791.666666666664
7575,109626693,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109626693,Apartment,Green Point,"Perfectly priced, and ready to go, this fantastic starter home is situated in one of the most desirable quiet cul-de-sacs in the ...",,75.0,2350000,1.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,31333.333333333332
7583,108016139,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108016139,Apartment,Green Point,"Modern, light and spacious open plan with stylish quality fittings throughout. Full length aluminium frame sliding glass doors open to ...",,81.0,2495000,2.0,2.0,,Jawitz Atlantic Seaboard,30802.46913580247
7610,110384242,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110384242,Apartment,Green Point,Joint Mandate – Tastefully renovated in the heart of Green Point and within walking distance to all the popular amenities we like to ...,,92.0,3150000,2.0,1.5,,Pam Golding Properties - Waterfront,34239.13043478261
7645,109383015,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109383015,Apartment,Green Point,"Beautifully renovated, quiet 1 bedroom apartment in the heart of Green Point. This is a treat for the investor hoping to air bnb as ...",,45.0,2150000,1.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,47777.77777777778
7653,110534491,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110534491,Apartment,Green Point,ON SHOW BY APPOINTMENT ONLYA great place to own an investment! An absolute stunning apartment in a fantastic location. This is a 2 ...,,103.0,5700000,2.0,2.0,2.0,Tyson Properties Atlantic Seaboard,55339.80582524272
7662,109498080,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109498080,Apartment,Green Point,"In the heart of Green Point, this luxurious apartment offers spacious living areas with 2 bedrooms en-suite. Offering a modern feel ...",,88.0,3595000,2.0,1.0,2.0,Hamiltons Property Portfolio - Western Cape,40852.27272727273
7671,109609288,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109609288,Apartment,Green Point,Price R4.750 Million (incl. VAT - no transfer duty)169 On Main offers a selection of 1 bedroom and 2 bedroom units which have been ...,,102.0,4750000,2.0,2.0,1.0,Dogon Group Sea Point - Head Office,46568.62745098039
7691,109278071,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109278071,Apartment,Green Point,This beautiful apartment situated on the Green Point strip.This stunning new apartment is a beautifully designed with custom built ...,,55.0,2995000,1.0,1.0,2.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,54454.545454545456
7750,109908550,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109908550,Apartment,Green Point,"Walk to the Stadium, Green Point Park,  shops and restaurants in a secure, central complex with a communal pool. This  2 bedroom ...",,85.0,3000000,2.0,1.0,2.0,"RE/MAX, Property Associates - Pinelands",35294.117647058825
7806,108430331,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108430331,Apartment,Green Point,"Brand new apartment in upmarket building offer excellent top class finishes. 2 bedrooms both en suite, open plan living areas leading ...",,96.0,5990000,2.0,2.0,2.0,Pam Golding Properties - Atlantic Seaboard,62395.833333333336
7810,109886234,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109886234,Apartment,Green Point,"This is Signatura's flagship development.Situated in the heart of De Waterkant, this North-West Facing corner unit is fully ...",,83.0,3950000,2.0,2.0,2.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,47590.361445783135
7858,110650684,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110650684,Apartment,Green Point,The spacious bedroom also has a workspace area andgood cupboard space. The bathroom has a shower. The bonus of an ...,,56.0,2695000,1.0,1.0,1.0,RE/MAX Living,48125.0
7884,109796483,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109796483,Apartment,Green Point,"Unique and spacious turn key apartmentSet amongst one of Cape Towns most quaint and quiet suburbs, this 2 bedroom first floor ...",,77.0,3400000,2.0,1.0,,Sotheby's International Realty - Atlantic Seaboard & City Bowl,44155.844155844155
7895,110374834,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110374834,Apartment,Green Point,Spacious and Sunny Apartment with Great ViewsAre you looking to buy into a certain lifestyle along the Green Point strip?This ...,,92.0,3200000,2.0,1.0,1.0,Jawitz Atlantic Seaboard,34782.608695652176
7907,106627783,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/106627783,Apartment,Green Point,"NO TRANSFER DUTY - PRICE INCLUDES VAT - CAPE ROYALE - Spacious, front and side facing, with the most incredible views, duplex ...",,156.0,8460000,4.0,4.0,2.0,,54230.769230769234
7939,109998760,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109998760,Apartment,Green Point,Top floor Greenpoint studio with excellent positioning.Features include:- double volume living space- Balcony included in SQM- ...,,40.0,1650000,0.5,1.0,,Tyson Properties Atlantic Seaboard,41250.0
7987,106475610,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/106475610,Apartment,Green Point,"A Touch of old world character with contemporary living!Beautiful apartment,2 bedroom ,1 bathroom .Solid wooden floors through living ...",,86.0,4950000,2.0,1.0,1.0,Hamiltons Property Portfolio - Western Cape,57558.13953488372
7988,106475605,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/106475605,Apartment,Green Point,"A Touch of old world character with contemporary living!Air B & B Friendly . Fiber Installed . 2 bedrooms air-conditioned, 1 ...",,89.0,5600000,2.0,1.0,1.0,Hamiltons Property Portfolio - Western Cape,62921.348314606745
8002,110214517,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110214517,Apartment,Green Point,"This spacious 2 bedroom apartment with gorgeous 1930's wooden floors throughout and contemporary modern finishes, this apartment is ...",,90.0,4450000,2.0,2.0,1.0,Dogon Group Sea Point - Head Office,49444.444444444445
8060,106653448,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/106653448,Apartment,Green Point,"2 bedroom apartment in the heart of Green Point. Great views over the city, sea and stadium. Open plan living with small balconyOne ...",,78.0,2300000,2.0,1.0,2.0,Property.CoZa - Prestige,29487.17948717949
8073,109309657,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109309657,Apartment,Green Point,This new stunning two bedroom apartment in the new Portswood development.Designed to suit the modern-professional.24 Hour security ...,,79.0,3850000,2.0,2.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,48734.17721518988
8084,110021605,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110021605,Apartment,Green Point,"This fully furnished, spacious, 142sqm apartment, including 14sqm terrace, boasts wooden flooring throughout, floor to ceiling-double ...",,142.0,7500000,2.0,2.0,,IKon Residential,52816.90140845071
8091,108988633,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/108988633,Apartment,Green Point,Exclusive:You’ve been looking for a 2 bedroom in the Atlantic Seaboard...  look no further !!!What makes this property the one ...,,77.0,2250000,2.0,1.0,1.0,RE/MAX Living,29220.77922077922
8150,109331942,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/109331942,Apartment,Green Point,Modern new apartment in a highly sought after block.24 hour security controlled access.Finished with warm and luxurious oak timber ...,,41.0,1975000,1.0,1.0,1.0,Sotheby's International Realty - Atlantic Seaboard & City Bowl,48170.73170731707
8319,110353215,https://www.property24.com/for-sale/green-point/cape-town/western-cape/11017/110353215,Apartment,Green Point,Light and bright east-facing studio apartment set high up in a good security complex. Comes with a secure open parking bay. This block ...,,41.0,1425000,0.5,1.0,1.0,RE/MAX Living,34756.09756097561
